ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
06,California,CA,06061,Placer,06061,"Placer County, California",1407.073921698848,391799,0,166083,271,145714,730,43914,2577,7917,586,37544,1539,13573,1033,14444,1238,76618,73,87116,0,40920,1397,6544,695,6094,747,111533,1962,12418,762,4448,400,2813,372,5403,550,4187,701,11.3,0.7,4.2,0.3,25.8,1.0,4.9,0.4,3.7,0.3,19.6,0.1,22.2,0.0,10.5,0.4,4.5,0.5,1.6,0.2,28.5,0.5,7.5,0.5,2.7,0.2,1.9,0.3,3.7,0.4,1.1,0.2,0.0351,0.0702,0.1754,0.0175,0.0526,0.3508,0.0175,0.6491,0.5965,0.2281,0.2456,0.2105,1.9298,0.2456,0.2281,0.2281,0.2281,0.5439,0.1404,0.0526,0.1053,0.1053,0.9475,0.0175,3.4562,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405989,25978,2156,6080,487,55932,0,31402,826,1264,253,474,120,15650,1091,731,731,6.7,0.0,1.6,0.1,14.3,0.0,8.0,0.2,0.3,0.1,0.1,0.1,4.0,0.3,0.2,0.1
06,California,CA,06063,Plumas,06063,"Plumas County, California",2553.061162870744,18844,0,15873,54,8332,278,3576,566,524,180,2114,268,771,192,592,223,5217,79,3172,62,3131,377,311,111,216,163,3343,433,305,119,1900,287,196,99,442,133,395,113,19.3,3.1,6.3,2.2,25.4,3.1,5.3,1.3,3.2,1.2,27.7,0.4,16.8,0.3,16.8,2.0,3.7,1.3,1.2,0.9,17.7,2.3,1.9,0.7,12.0,1.8,2.4,1.2,5.3,1.6,2.1,0.6,0.4035,0.4912,0.1404,0.0351,0.0,1.0702,0.1404,0.9123,0.1228,0.7719,0.1053,0.1228,2.0351,0.2632,0.0351,0.0351,0.0351,0.0526,0.8421,0.1053,0.4912,0.4737,1.9649,0.1579,5.1053,0.0877,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18783,2438,513,254,208,1749,0,217,104,204,121,29,47,754,220,136,136,13.2,0.1,1.3,1.1,9.3,0.0,1.2,0.6,1.1,0.6,0.2,0.2,4.0,1.2,0.7,1.1
06,California,CA,06065,Riverside,06065,"Riverside County, California",7209.266106034932,2437864,0,845066,1119,736413,2254,518929,9541,82367,2997,248913,4008,273740,4665,204878,5732,352375,0,613823,0,280243,4173,45018,1736,182640,4325,1600017,10218,64822,1994,72363,1781,52030,1765,29230,1183,37959,3580,21.6,0.4,7.3,0.3,33.8,0.5,17.2,0.3,8.5,0.2,14.5,0.0,25.2,0.0,11.6,0.2,6.1,0.2,8.0,0.2,65.6,0.4,7.7,0.2,8.6,0.2,7.1,0.2,4.0,0.2,1.6,0.1,0.4561,0.614,0.7719,0.6491,0.8421,3.3332,0.7368,0.3509,0.7193,0.3333,0.5614,0.6491,2.614,0.5965,0.7544,0.7544,0.7544,0.5614,0.6667,0.6842,0.1404,0.3333,2.386,0.4035,9.0876,0.6491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2229551,195710,7592,148003,2406,1204521,0,159004,2020,9079,679,6687,540,66458,3294,6265,6265,8.2,0.0,6.1,0.1,49.4,0.0,6.5,0.1,0.4,0.1,0.3,0.1,2.7,0.1,0.3,0.1
06,California,CA,06067,Sacramento,06067,"Sacramento County, California",965.270605470636,1537948,0,572916,455,547519,1431,341697,6428,48974,2233,183390,3264,125811,3296,83134,2712,216519,0,363852,0,182571,3535,39843,1691,89534,2689,865983,6830,74537,2236,13609,793,28745,1298,34601,1161,23821,1194,22.5,0.4,6.4,0.3,33.5,0.6,12.1,0.3,5.5,0.2,14.1,0.0,23.7,0.0,12.0,0.2,7.3,0.3,6.2,0.2,56.3,0.4,13.0,0.4,2.4,0.1,5.3,0.2,6.3,0.2,1.5,0.1,0.5263,0.5088,0.7193,0.4912,0.2632,2.5088,0.4912,0.2982,0.6842,0.4211,0.7544,0.5263,2.6842,0.6316,0.614,0.614,0.614,0.807,0.1228,0.4912,0.7018,0.2807,2.4035,0.4211,8.2105,0.5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598380,107068,4842,142796,2308,360204,0,252232,2380,4823,526,16535,574,83950,3260,5443,5443,7.1,0.0,9.3,0.2,23.4,0.0,16.4,0.2,0.3,0.1,1.1,0.1,5.5,0.2,0.4,0.1
06,California,CA,06069,San Benito,06069,"San Benito County, California",1388.65101110067,61547,0,19215,47,18389,178,10368,1592,2409,381,5228,492,7223,811,4012,762,7812,47,15844,44,6237,693,1123,241,4971,641,40980,530,501,131,849,197,1415,300,505,144,266,96,17.0,2.6,7.5,1.2,28.4,2.7,18.1,2.0,6.5,1.2,12.7,0.1,25.7,0.1,10.2,1.1,6.1,1.3,8.7,1.1,66.6,0.9,2.6,0.7,4.4,1.0,7.7,1.6,2.7,0.8,0.4,0.2,0.2807,0.7018,0.2807,0.6842,0.4912,2.4386,0.4737,0.1404,0.7368,0.193,0.5614,0.6667,2.2983,0.3684,0.7719,0.7719,0.7719,0.1579,0.3333,0.7368,0.0175,0.0,1.2455,0.0877,6.7543,0.3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50841,3610,677,475,106,37015,0,1572,317,199,108,38,32,1611,354,70,70,5.9,1.1,0.8,0.2,60.1,0.0,2.6,0.5,0.3,0.2,0.1,0.1,2.6,0.6,0.1,0.1
06,California,CA,06071,San Bernardino,06071,"San Bernardino County, California",20068.00238544374,2162532,0,721376,706,640090,1894,529612,8924,72961,2367,223431,3870,264035,4396,175185,4834,250032,100,570845,0,241186,4415,52980,2073,153812,3961,1566270,8655,71427,2041,40936,1415,56289,2133,30615,1363,51927,2304,25.1,0.4,7.3,0.2,34.9,0.6,19.3,0.3,8.3,0.2,11.6,0.1,26.4,0.0,11.4,0.2,8.3,0.3,7.7,0.2,72.4,0.4,9.9,0.3,5.7,0.2,8.8,0.3,4.8,0.2,2.4,0.1,0.6842,0.614,0.8596,0.7193,0.807,3.6841,0.8421,0.0702,0.7895,0.2807,0.8596,0.6316,2.6316,0.614,0.9474,0.9474,0.9474,0.7193,0.4386,0.8421,0.3333,0.5439,2.8772,0.6842,10.1403,0.8421,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2071938,209487,8324,166814,2622,1163038,0,155280,1800,7125,587,6058,513,63013,3408,4942,4942,9.9,0.0,7.7,0.1,53.8,0.0,7.2,0.1,0.3,0.1,0.3,0.1,2.9,0.2,0.2,0.1
06,California,CA,06073,San Diego,06073,"San Diego County, California",4210.231983638214,3323970,0,1215528,822,1130703,2942,593926,12325,104435,2823,366273,5029,270769,5390,244072,5901,467737,0,718250,0,322003,4857,63612,1980,200324,4461,1831805,13388,264838,4004,41738,1477,77186,2180,61132,1833,91323,2341,18.3,0.4,6.2,0.2,32.4,0.4,12.0,0.2,7.6,0.2,14.1,0.0,21.6,0.0,10.0,0.2,5.6,0.2,6.4,0.1,55.1,0.4,21.8,0.3,3.4,0.1,6.8,0.2,5.4,0.2,2.7,0.1,0.3509,0.4737,0.5965,0.4737,0.6667,2.5615,0.5088,0.2982,0.4737,0.1228,0.4561,0.5439,1.8947,0.1754,0.5614,0.5614,0.5614,0.9123,0.2281,0.6491,0.5614,0.6316,2.9825,0.7544,8.0001,0.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3453356,203586,6716,153310,2242,1126266,0,388801,3248,11828,688,12508,835,131221,4528,7871,7871,6.3,0.0,4.6,0.1,33.9,0.0,11.7,0.1,0.4,0.1,0.4,0.1,3.9,0.1,0.2,0.1
06,California,CA,06075,San Francisco,06075,"San Francisco County, California",46.914130077078,874784,0,398613,722,362141,1924,135497,3624,25625,1608,82038,2334,79742,2424,31049,1701,138157,134,117363,0,87964,2379,10805,733,91297,2798,526335,3886,152056,2429,502,144,24084,1331,111714,2414,20169,1770,15.7,0.4,4.7,0.3,22.7,0.6,11.4,0.3,3.6,0.2,15.8,0.1,13.4,0.0,10.1,0.3,3.0,0.2,10.9,0.3,60.2,0.4,38.1,0.6,0.1,0.1,6.7,0.4,30.8,0.6,2.3,0.2,0.193,0.193,0.0702,0.4211,0.0351,0.9124,0.0877,0.4912,0.0,0.1404,0.0175,0.8596,1.5087,0.0175,0.6667,0.6667,0.6667,1.0,0.0,0.6316,1.0,0.5263,3.1579,0.8947,6.2457,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1128133,62730,3211,42803,901,132865,0,297279,2112,1796,316,3022,235,43792,2306,4778,4778,7.3,0.0,4.9,0.1,15.2,0.0,34.0,0.2,0.2,0.1,0.3,0.1,5.0,0.3,0.5,0.1
06,California,CA,06077,San Joaquin,06077,"San Joaquin County, California",1392.369720467204,751615,0,245192,290,231092,1027,176396,5955,24994,1529,76981,2079,94567,2514,46860,2464,95949,109,203670,0,91706,2364,17654,1096,60993,2427,520758,3753,20995,1142,8074,547,18233,1099,12841,663,17700,968,24.0,0.8,7.2,0.4,33.3,0.9,19.9,0.5,6.3,0.3,12.8,0.1,27.1,0.0,12.4,0.3,7.6,0.5,8.7,0.3,69.3,0.5,8.6,0.5,3.3,0.2,7.9,0.5,5.6,0.3,2.4,0.1,0.5965,0.5965,0.7018,0.7544,0.4561,3.1053,0.6667,0.1579,0.8246,0.4737,0.7895,0.6667,2.9124,0.7368,0.8421,0.8421,0.8421,0.614,0.2105,0.7544,0.5789,0.5439,2.7017,0.5965,9.5615,0.7895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737899,75621,3533,50920,1126,313385,0,116618,2038,1447,283,4228,283,32117,2485,2043,2043,10.3,0.0,6.8,0.1,41.7,0.0,15.5,0.3,0.2,0.1,0.6,0.1,4.3,0.3,0.3,0.1
06,California,CA,06079,San Luis Obispo,06079,"San Luis Obispo County, California",3300.852728780864,282517,0,122256,343,106244,958,45807,2169,6154,799,32463,1316,15482,1022,16434,1455,56700,94,49949,25,32401,1305,4063,560,7485,956,89558,1592,7043,719,9146,627,3281,469,3968,566,16332,821,17.2,0.8,4.5,0.6,30.6,1.2,8.2,0.5,6.0,0.5,20.1,0.1,17.7,0.0,11.7,0.5,3.8,0.5,2.8,0.4,31.7,0.6,5.8,0.6,7.5,0.5,3.1,0.4,3.7,0.5,5.8,0.3,0.2982,0.1228,0.4912,0.1404,0.3684,1.421,0.2632,0.7018,0.1754,0.3509,0.1228,0.3158,1.6667,0.0526,0.2982,0.2982,0.2982,0.4386,0.614,0.193,0.1053,0.8947,2.2456,0.3333,5.6315,0.1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279704,20916,2142,4476,423,64275,0,9996,540,1166,198,258,104,8841,807,546,546,7.9,0.0,1.6,0.1,22.8,0.0,3.5,0.2,0.4,0.1,0.1,0.1,3.1,0.3,0.2,0.1
